cbsa_code,cbsa_name,metro_micro,city_name,state_fips,place_fips
19180,"Danville, IL",metropolitan,Danville,17,18563
19220,"Danville, KY",micropolitan,Danville,21,19882
19260,"Danville, VA",micropolitan,Danville,51,21344
19300,"Daphne-Fairhope-Foley, AL",metropolitan,Daphne,1,19648
19300,"Daphne-Fairhope-Foley, AL",metropolitan,Fairhope,1,25240
19300,"Daphne-Fairhope-Foley, AL",metropolitan,Foley,1,26992
19340,"Davenport-Moline-Rock Island, IA-IL",metropolitan,Moline,17,49867
19340,"Davenport-Moline-Rock Island, IA-IL",metropolitan,Rock Island,17,65078
19340,"Davenport-Moline-Rock Island, IA-IL",metropolitan,Davenport,19,19000
19380,"Dayton, OH",metropolitan,Dayton,39,21000
19420,"Dayton, TN",micropolitan,Dayton,47,19700
19460,"Decatur, AL",metropolitan,Decatur,1,20104
19500,"Decatur, IL",metropolitan,Decatur,17,18823
19540,"Decatur, IN",micropolitan,Decatur,18,17074
19580,"Defiance, OH",micropolitan,Defiance,39,21308
19620,"Del Rio, TX",micropolitan,Del Rio,48,19792
19660,"Deltona-Daytona Beach-Ormond Beach, FL",metropolitan,Daytona Beach,12,16525
19660,"Deltona-Daytona Beach-Ormond Beach, FL",metropolitan,Deltona,12,17200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",metropolitan,Ormond Beach,12,53150
19700,"Deming, NM",micropolitan,Deming,35,20270
19740,"Denver-Aurora-Lakewood, CO",metropolitan,Aurora,8,4000
19740,"Denver-Aurora-Lakewood, CO",metropolitan,Broomfield,8,9280
19740,"Denver-Aurora-Lakewood, CO",metropolitan,Denver,8,20000
19740,"Denver-Aurora-Lakewood, CO",metropolitan,Lakewood,8,43000
19760,"DeRidder, LA",micropolitan,DeRidder,22,20610
19780,"Des Moines-West Des Moines, IA",metropolitan,Des Moines,19,21000
19780,"Des Moines-West Des Moines, IA",metropolitan,West Des Moines,19,83910
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Dearborn,26,21000
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Detroit,26,22000
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Farmington Hills,26,27440
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Livonia,26,49000
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Novi,26,59440
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Pontiac,26,65440
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Southfield,26,74900
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Taylor,26,79000
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Troy,26,80700
19820,"Detroit-Warren-Dearborn, MI",metropolitan,Warren,26,84000
19860,"Dickinson, ND",micropolitan,Dickinson,38,19620
19940,"Dixon, IL",micropolitan,Dixon,17,20162
19980,"Dodge City, KS",micropolitan,Dodge City,20,18250
20020,"Dothan, AL",metropolitan,Dothan,1,21184
20060,"Douglas, GA",micropolitan,Douglas,13,23872
20100,"Dover, DE",metropolitan,Dover,10,21200
20140,"Dublin, GA",micropolitan,Dublin,13,24376
20180,"DuBois, PA",micropolitan,DuBois,42,20136
20220,"Dubuque, IA",metropolitan,Dubuque,19,22395
20260,"Duluth, MN-WI",metropolitan,Duluth,27,17000
20300,"Dumas, TX",micropolitan,Dumas,48,21556
20340,"Duncan, OK",micropolitan,Duncan,40,21900
20380,"Dunn, NC",micropolitan,Dunn,37,18320
20420,"Durango, CO",micropolitan,Durango,8,22035
20460,"Durant, OK",micropolitan,Durant,40,22050
20500,"Durham-Chapel Hill, NC",metropolitan,Chapel Hill,37,11800
20500,"Durham-Chapel Hill, NC",metropolitan,Durham,37,19000
20540,"Dyersburg, TN",micropolitan,Dyersburg,47,22200
20580,"Eagle Pass, TX",micropolitan,Eagle Pass,48,21892
20660,"Easton, MD",micropolitan,Easton,24,24475
20700,"East Stroudsburg, PA",metropolitan,East Stroudsburg,42,21872
20740,"Eau Claire, WI",metropolitan,Eau Claire,55,22300
20780,"Edwards, CO",micropolitan,Edwards,8,23300
20820,"Effingham, IL",micropolitan,Effingham,17,22736
20900,"El Campo, TX",micropolitan,El Campo,48,22864
20940,"El Centro, CA",metropolitan,El Centro,6,21782
20980,"El Dorado, AR",micropolitan,El Dorado,5,21070
21020,"Elizabeth City, NC",micropolitan,Elizabeth City,37,20580
21060,"Elizabethtown-Fort Knox, KY",metropolitan,Elizabethtown,21,24274
21060,"Elizabethtown-Fort Knox, KY",metropolitan,Fort Knox,21,28540
21120,"Elk City, OK",micropolitan,Elk City,40,23500
21140,"Elkhart-Goshen, IN",metropolitan,Elkhart,18,20728
21140,"Elkhart-Goshen, IN",metropolitan,Goshen,18,28386
21180,"Elkins, WV",micropolitan,Elkins,54,24580
21220,"Elko, NV",micropolitan,Elko,32,22500
21260,"Ellensburg, WA",micropolitan,Ellensburg,53,21240
21300,"Elmira, NY",metropolitan,Elmira,36,24229
21340,"El Paso, TX",metropolitan,El Paso,48,24000
21380,"Emporia, KS",micropolitan,Emporia,20,21275
21420,"Enid, OK",micropolitan,Enid,40,23950
21460,"Enterprise, AL",micropolitan,Enterprise,1,24184
21500,"Erie, PA",metropolitan,Erie,42,24000
21540,"Escanaba, MI",micropolitan,Escanaba,26,26360
21580,"Española, NM",micropolitan,Española,35,25170
21660,"Eugene, OR",metropolitan,Eugene,41,23850
21700,"Eureka-Arcata-Fortuna, CA",micropolitan,Arcata,6,2476
21700,"Eureka-Arcata-Fortuna, CA",micropolitan,Eureka,6,23042
21700,"Eureka-Arcata-Fortuna, CA",micropolitan,Fortuna,6,25296
21740,"Evanston, WY",micropolitan,Evanston,56,25620
21780,"Evansville, IN-KY",metropolitan,Evansville,18,22000
21820,"Fairbanks, AK",metropolitan,Fairbanks,2,24230
21840,"Fairfield, IA",micropolitan,Fairfield,19,26445
21900,"Fairmont, WV",micropolitan,Fairmont,54,26452
21980,"Fallon, NV",micropolitan,Fallon,32,24100
22020,"Fargo, ND-MN",metropolitan,Fargo,38,25700
22060,"Faribault-Northfield, MN",micropolitan,Faribault,27,20546
22060,"Faribault-Northfield, MN",micropolitan,Northfield,27,46924
22100,"Farmington, MO",micropolitan,Farmington,29,23752
22140,"Farmington, NM",metropolitan,Farmington,35,25800
22180,"Fayetteville, NC",metropolitan,Fayetteville,37,22920
22220,"Fayetteville-Springdale-Rogers, AR-MO",metropolitan,Bentonville,5,5320
22220,"Fayetteville-Springdale-Rogers, AR-MO",metropolitan,Fayetteville,5,23290
22220,"Fayetteville-Springdale-Rogers, AR-MO",metropolitan,Rogers,5,60410
22220,"Fayetteville-Springdale-Rogers, AR-MO",metropolitan,Springdale,5,66080
22260,"Fergus Falls, MN",micropolitan,Fergus Falls,27,20906
22280,"Fernley, NV",micropolitan,Fernley,32,24900
22300,"Findlay, OH",micropolitan,Findlay,39,27048
22340,"Fitzgerald, GA",micropolitan,Fitzgerald,13,29528
22380,"Flagstaff, AZ",metropolitan,Flagstaff,4,23620
22420,"Flint, MI",metropolitan,Flint,26,29000
22500,"Florence, SC",metropolitan,Florence,45,25810
22520,"Florence-Muscle Shoals, AL",metropolitan,Florence,1,26896
22520,"Florence-Muscle Shoals, AL",metropolitan,Muscle Shoals,1,53016
22540,"Fond du Lac, WI",metropolitan,Fond du Lac,55,26275
22580,"Forest City, NC",micropolitan,Forest City,37,24080
22620,"Forrest City, AR",micropolitan,Forrest City,5,24430
22660,"Fort Collins, CO",metropolitan,Fort Collins,8,27425
22700,"Fort Dodge, IA",micropolitan,Fort Dodge,19,28515
22780,"Fort Leonard Wood, MO",micropolitan,Fort Leonard Wood,29,25264
22800,"Fort Madison-Keokuk, IA-IL-MO",micropolitan,Fort Madison,19,28605
22800,"Fort Madison-Keokuk, IA-IL-MO",micropolitan,Keokuk,19,40845
22820,"Fort Morgan, CO",micropolitan,Fort Morgan,8,27810
22860,"Fort Polk South, LA",micropolitan,Fort Polk South,22,26757
22900,"Fort Smith, AR-OK",metropolitan,Fort Smith,5,24550
23060,"Fort Wayne, IN",metropolitan,Fort Wayne,18,25000
